alert_id,notification_id,datetime,date,card_id,merchant,amount,amount_cents,kind,issuer,subject
8b90a2a093f676fc,CREDIT_REALTIME_AUTH-8b90a2a093f676fcd0378e4d1f3bb064c50bd7186a449140ecc8d63f47ced6b1-ver3-3-8b90a2a0-93f6-3e6c-a41b-76fcd0378e4d,2026-09-11 17:52,2026-09-11,4417,FOURTH STREET MARKET,5.35,535,purchase,Chase,You made a $5.35 transaction with FOURTH STREET MARKET
92280452e8b764c0,CREDIT_REALTIME_AUTH-92280452e8b764c07536dc4102649935a4765928b171bb81580a131905e7514e-ver3-3-92280452-e8b7-3e6c-a41b-64c07536dc41,2026-09-11 12:18,2026-09-11,4417,CHIPOTLE 2291,13.42,1342,purchase,Chase,You made a $13.42 transaction with CHIPOTLE 2291
03a265c9b6a78845,CREDIT_REALTIME_AUTH-03a265c9b6a788452cc8c59cf34b3011f445d27cdfdb57397d5d816cf5b0e6fc-ver3-3-03a265c9-b6a7-3e6c-a41b-88452cc8c59c,2026-09-11 08:07,2026-09-11,8802,AMAZON.COM*2K4LT9QZ0,27.48,2748,purchase,Chase,You made a $27.48 transaction with AMAZON.COM*2K4LT9QZ0
dc7a72baa3d84062,CREDIT_REALTIME_AUTH-dc7a72baa3d84062d0aba40a0271d58665c21e89e65aaaa6c04bf80abb75f7f4-ver3-3-dc7a72ba-a3d8-3e6c-a41b-4062d0aba40a,2026-09-10 19:40,2026-09-10,4417,TRADER JOE'S #712,41.16,4116,purchase,Chase,You made a $41.16 transaction with TRADER JOE'S #712
4789c7a210a86890,CREDIT_REALTIME_AUTH-4789c7a210a8689002437e86606f5ff95d896ef38dc825d480b0f449aded1885-ver3-3-4789c7a2-10a8-3e6c-a41b-689002437e86,2026-09-10 13:05,2026-09-10,4417,LAKEVIEW TRANSIT AUTH,2.75,275,purchase,Chase,You made a $2.75 transaction with LAKEVIEW TRANSIT AUTH
e9d342f7646e417e,CREDIT_REALTIME_AUTH-e9d342f7646e417e5aee8a9e4262200213e507126afdc76b9a4c1e59be1a76fb-ver3-3-e9d342f7-646e-3e6c-a41b-417e5aee8a9e,2026-09-10 07:31,2026-09-10,4417,FOURTH STREET MARKET,3.48,348,purchase,Chase,You made a $3.48 transaction with FOURTH STREET MARKET
b93995585e037b20,CREDIT_REALTIME_AUTH-b93995585e037b2048a9bb1bb40dfdc47c2ed00ec0abd7481eda0737c41bf9cf-ver3-3-b9399558-5e03-3e6c-a41b-7b2048a9bb1b,2026-09-09 20:14,2026-09-09,4417,AMC THEATRES #2255,18.30,1830,purchase,Chase,You made a $18.30 transaction with AMC THEATRES #2255
b38deb234a08e97d,CREDIT_REALTIME_AUTH-b38deb234a08e97d63ee8852640d94fa0231c761cbd621b05e86f9c09e3084b8-ver3-3-b38deb23-4a08-3e6c-a41b-e97d63ee8852,2026-09-09 18:22,2026-09-09,4417,CHEWY.COM,32.15,3215,purchase,Chase,You made a $32.15 transaction with CHEWY.COM
be9d75918074927c,CREDIT_REALTIME_AUTH-be9d75918074927c8581bfc0b4378b47cb8a1d0606afa99dc45e89117b37eefa-ver3-3-be9d7591-8074-3e6c-a41b-927c8581bfc0,2026-09-09 12:40,2026-09-09,4417,PANERA BREAD #601442,11.87,1187,purchase,Chase,You made a $11.87 transaction with PANERA BREAD #601442
888471744398cc2d,CREDIT_REALTIME_AUTH-888471744398cc2d1a8f66f24a42544cac4276dc2cb6729b702455ceaf7514dc-ver3-3-88847174-4398-3e6c-a41b-cc2d1a8f66f2,2026-09-08 16:03,2026-09-08,4417,TARGET 00028215,-24.99,-2499,credit,Chase,A refund of $24.99 was credited to your account
