order id,order url,order date,quantity,description,item url,price,subscribe & save,ASIN
112-6221049-0444830,https://www.amazon.com/your-orders/order-details?orderID=112-6221049-0444830,2026-08-31,1,"Purina ONE Indoor Advantage Dry Cat Food, 7 lb",https://www.amazon.com/dp/B0SYN01307,$19.98,0,B0SYN01307
112-6221049-0444830,https://www.amazon.com/your-orders/order-details?orderID=112-6221049-0444830,2026-08-31,1,Petstages Tower of Tracks Cat Toy,https://www.amazon.com/dp/B0SYN01308,$13.49,0,B0SYN01308
112-8036915-0044093,https://www.amazon.com/your-orders/order-details?orderID=112-8036915-0044093,2026-08-24,1,"Inaba Churu Cat Treats, Tuna Variety, 20 Tubes",https://www.amazon.com/dp/B0SYN01306,$16.49,0,B0SYN01306
112-6127481-1786501,https://www.amazon.com/your-orders/order-details?orderID=112-6127481-1786501,2026-08-13,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-6246916-4857980,https://www.amazon.com/your-orders/order-details?orderID=112-6246916-4857980,2026-08-04,1,"Clorox Disinfecting Wipes, 3 Pack",https://www.amazon.com/dp/B0SYN00205,$12.88,0,B0SYN00205
112-6246916-4857980,https://www.amazon.com/your-orders/order-details?orderID=112-6246916-4857980,2026-08-04,1,"Liquid I.V. Electrolyte Drink Mix, Lemon Lime, 16 Sticks",https://www.amazon.com/dp/B0SYN00502,$24.99,0,B0SYN00502
112-6246916-4857980,https://www.amazon.com/your-orders/order-details?orderID=112-6246916-4857980,2026-08-04,1,"Quaker Instant Oatmeal Variety Pack, 48 Count",https://www.amazon.com/dp/B0SYN00504,$14.48,0,B0SYN00504
112-1357719-8798240,https://www.amazon.com/your-orders/order-details?orderID=112-1357719-8798240,2026-08-03,1,"Veken Rug Gripper Pad, 2x3 ft",https://www.amazon.com/dp/B0SYN00931,$12.99,0,B0SYN00931
112-8203628-8437417,https://www.amazon.com/your-orders/order-details?orderID=112-8203628-8437417,2026-07-26,1,VASAGLE Shoe Bench with Storage Shelf,https://www.amazon.com/dp/B0SYN01305,$42.49,0,B0SYN01305
112-4470608-1364310,https://www.amazon.com/your-orders/order-details?orderID=112-4470608-1364310,2026-07-14,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-1358001-0754018,https://www.amazon.com/your-orders/order-details?orderID=112-1358001-0754018,2026-07-12,1,"Gorilla Grip Cat Litter Trapping Mat, XL, 2 Pack",https://www.amazon.com/dp/B0SYN01303,$32.51,0,B0SYN01303
112-1358001-0754018,https://www.amazon.com/your-orders/order-details?orderID=112-1358001-0754018,2026-07-12,1,"SmartyKat Skitter Critters Catnip Toy Mice, 3 Pack",https://www.amazon.com/dp/B0SYN01304,$9.98,0,B0SYN01304
112-0586796-2668199,https://www.amazon.com/your-orders/order-details?orderID=112-0586796-2668199,2026-07-10,1,"Nature Made Vitamin D3 2000 IU, 220 Softgels",https://www.amazon.com/dp/B0SYN00402,$12.42,0,B0SYN00402
112-0586796-2668199,https://www.amazon.com/your-orders/order-details?orderID=112-0586796-2668199,2026-07-10,1,"Zyrtec 24 Hour Allergy Relief Tablets, 90 Count",https://www.amazon.com/dp/B0SYN00403,$32.99,0,B0SYN00403
112-0586796-2668199,https://www.amazon.com/your-orders/order-details?orderID=112-0586796-2668199,2026-07-10,1,"Zyrtec 24 Hour Allergy Relief Tablets, 90 Count",https://www.amazon.com/dp/B0SYN00403,$32.99,0,B0SYN00403
112-6190257-1896846,https://www.amazon.com/your-orders/order-details?orderID=112-6190257-1896846,2026-07-08,1,"PETLIBRO Automatic Cat Feeder, 4L",https://www.amazon.com/dp/B0SYN01301,$69.99,0,B0SYN01301
112-6190257-1896846,https://www.amazon.com/your-orders/order-details?orderID=112-6190257-1896846,2026-07-08,1,"Catit Flower Cat Water Fountain, 3L",https://www.amazon.com/dp/B0SYN01302,$39.99,0,B0SYN01302
112-7108152-0021584,https://www.amazon.com/your-orders/order-details?orderID=112-7108152-0021584,2026-06-27,1,"Utopia Bedding Duvet Insert, Queen",https://www.amazon.com/dp/B0SYN01204,$39.99,0,B0SYN01204
112-7108152-0021584,https://www.amazon.com/your-orders/order-details?orderID=112-7108152-0021584,2026-06-27,1,"Lasko Box Fan, 20 Inch",https://www.amazon.com/dp/B0SYN01205,$26.99,0,B0SYN01205
112-7108152-0021584,https://www.amazon.com/your-orders/order-details?orderID=112-7108152-0021584,2026-06-27,1,"Command Picture Hanging Strips, 16 Pairs",https://www.amazon.com/dp/B0SYN01206,$23.13,0,B0SYN01206
112-4331604-3714389,https://www.amazon.com/your-orders/order-details?orderID=112-4331604-3714389,2026-06-23,1,"Neutrogena Ultra Sheer Sunscreen SPF 55, 3 oz",https://www.amazon.com/dp/B0SYN00405,$9.97,0,B0SYN00405
112-4331604-3714389,https://www.amazon.com/your-orders/order-details?orderID=112-4331604-3714389,2026-06-23,1,"CeraVe Daily Moisturizing Lotion, 19 oz",https://www.amazon.com/dp/B0SYN00304,$16.08,0,B0SYN00304
112-5296612-6419306,https://www.amazon.com/your-orders/order-details?orderID=112-5296612-6419306,2026-06-17,1,"Sterilite 6 Quart Storage Box, 12 Pack",https://www.amazon.com/dp/B0SYN01105,$42.66,0,B0SYN01105
112-5296612-6419306,https://www.amazon.com/your-orders/order-details?orderID=112-5296612-6419306,2026-06-17,1,Brightech Sky LED Floor Lamp,https://www.amazon.com/dp/B0SYN01102,$73.58,0,B0SYN01102
112-5883789-9226416,https://www.amazon.com/your-orders/order-details?orderID=112-5883789-9226416,2026-06-15,1,"Degree Men Antiperspirant Deodorant, 4 Count",https://www.amazon.com/dp/B0SYN00303,$15.36,0,B0SYN00303
112-7010829-0276630,https://www.amazon.com/your-orders/order-details?orderID=112-7010829-0276630,2026-06-13,2,"Nature Valley Crunchy Granola Bars, Oats 'n Honey, 24 Count",https://www.amazon.com/dp/B0SYN00503,$11.98,0,B0SYN00503
112-7010829-0276630,https://www.amazon.com/your-orders/order-details?orderID=112-7010829-0276630,2026-06-13,1,"Anker USB-C to USB-C Cable, 6 ft, 2 Pack",https://www.amazon.com/dp/B0SYN00701,$12.99,0,B0SYN00701
112-7010829-0276630,https://www.amazon.com/your-orders/order-details?orderID=112-7010829-0276630,2026-06-13,1,"OXO Good Grips Mixing Bowl Set, 3 Piece",https://www.amazon.com/dp/B0SYN00602,$29.95,0,B0SYN00602
112-4864607-4624678,https://www.amazon.com/your-orders/order-details?orderID=112-4864607-4624678,2026-06-11,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-0482721-0276863,https://www.amazon.com/your-orders/order-details?orderID=112-0482721-0276863,2026-06-08,1,"Dawn Ultra Dish Soap, 3 Pack",https://www.amazon.com/dp/B0SYN00203,$11.49,0,B0SYN00203
112-8252366-2897084,https://www.amazon.com/your-orders/order-details?orderID=112-8252366-2897084,2026-06-06,1,"NICETOWN Blackout Curtains, 2 Panels, 84 Inch",https://www.amazon.com/dp/B0SYN01202,$49.90,0,B0SYN01202
112-8252366-2897084,https://www.amazon.com/your-orders/order-details?orderID=112-8252366-2897084,2026-06-06,1,"Amazon Basics Curtain Rod with Cap Finials, 72 to 144 Inch",https://www.amazon.com/dp/B0SYN01203,$23.98,0,B0SYN01203
112-4171239-4359293,https://www.amazon.com/your-orders/order-details?orderID=112-4171239-4359293,2026-05-24,2,"Clorox Disinfecting Wipes, 3 Pack",https://www.amazon.com/dp/B0SYN00205,$12.88,0,B0SYN00205
112-4171239-4359293,https://www.amazon.com/your-orders/order-details?orderID=112-4171239-4359293,2026-05-24,1,"Gillette Fusion5 Men's Razor Blade Refills, 8 Count",https://www.amazon.com/dp/B0SYN00305,$25.99,0,B0SYN00305
112-4171239-4359293,https://www.amazon.com/your-orders/order-details?orderID=112-4171239-4359293,2026-05-24,1,"Utopia Bedding Sheet Set, Queen, 4 Piece",https://www.amazon.com/dp/B0SYN01104,$26.99,0,B0SYN01104
112-9343914-8171609,https://www.amazon.com/your-orders/order-details?orderID=112-9343914-8171609,2026-05-12,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-7339702-5443352,https://www.amazon.com/your-orders/order-details?orderID=112-7339702-5443352,2026-05-10,1,"Scotch-Brite Non-Scratch Scrub Sponges, 9 Count",https://www.amazon.com/dp/B0SYN00206,$8.49,0,B0SYN00206
112-5880735-7639029,https://www.amazon.com/your-orders/order-details?orderID=112-5880735-7639029,2026-05-09,1,"Zinus Shawn Metal Platform Bed Frame, Queen",https://www.amazon.com/dp/B0SYN01201,$189.99,0,B0SYN01201
112-9838999-8873428,https://www.amazon.com/your-orders/order-details?orderID=112-9838999-8873428,2026-04-15,1,"Dawn Ultra Dish Soap, 3 Pack",https://www.amazon.com/dp/B0SYN00203,$11.49,0,B0SYN00203
112-9838999-8873428,https://www.amazon.com/your-orders/order-details?orderID=112-9838999-8873428,2026-04-15,1,"Nature Made Vitamin D3 2000 IU, 220 Softgels",https://www.amazon.com/dp/B0SYN00402,$12.42,0,B0SYN00402
112-6605063-1698167,https://www.amazon.com/your-orders/order-details?orderID=112-6605063-1698167,2026-04-14,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
