Date,Description,Original Description,Amount,Type,Parent Category,Category,Account,Tags,Memo,Pending
08/31/2026,Transfer from Account 0072,Transfer from Share 0072,500.00,Credit,Transfer,Transfer,SHARE SAVINGS,,Transfer from Share 0072,FALSE
08/31/2026,Transfer To Share,Transfer To Share 0001,500.00,Debit,Transfer,Transfer,FREE CHECKING,,Transfer To Share 0001,FALSE
08/27/2026,Vantel Fiber,Withdrawal VANTEL FIBER / TYPE: INTERNET CO: VANTEL FIBER %% ACH ECC WEB,49.00,Debit,Bills & Utilities,Internet,FREE CHECKING,,TYPE: INTERNET CO: VANTEL FIBER %% ACH ECC WEB,FALSE
08/25/2026,Transfer to Venmo,Withdrawal VENMO / TYPE: PAYMENT CO: VENMO %% ACH ECC WEB,21.24,Debit,Transfer,Venmo,FREE CHECKING,,TYPE: PAYMENT CO: VENMO %% ACH ECC WEB,FALSE
08/25/2026,Northline Gas,Withdrawal NORTHLINE GAS / TYPE: GAS BILL CO: NORTHLINE GAS %% ACH ECC CCD,18.12,Debit,Bills & Utilities,Utilities,FREE CHECKING,,TYPE: GAS BILL CO: NORTHLINE GAS %% ACH ECC CCD,FALSE
08/24/2026,Capital One Card Payment,Withdrawal CAPITAL ONE / TYPE: CRCARDPMT CO: CAPITAL ONE %% ACH ECC WEB,150.00,Debit,Transfer,Credit Card Payment,FREE CHECKING,,TYPE: CRCARDPMT CO: CAPITAL ONE %% ACH ECC WEB,FALSE
08/21/2026,Lakeview County Payroll,Deposit LAKEVIEW COUNTY PAYROLL / TYPE: DIRECT DEP ID: XXXXXX4410 CO: LAKEVIEW COUNTY %% ACH ECC PPD,1970.68,Credit,Income,Paycheck,FREE CHECKING,,TYPE: DIRECT DEP ID: XXXXXX4410 CO: LAKEVIEW COUNTY %% ACH ECC PPD,FALSE
08/21/2026,ATM Withdrawal Lakeshore CU,ATM Withdrawal LAKESHORE CU MAIN ST LAKEVIEW OH,40.00,Debit,Uncategorized,Cash,FREE CHECKING,,ATM Withdrawal LAKESHORE CU MAIN ST LAKEVIEW OH,FALSE
08/20/2026,Zelle to Alex Carver,Withdrawal ZELLE TO ALEX CARVER / TYPE: P2P CO: ZELLE %% ACH ECC WEB,3500.00,Debit,Transfer,Zelle,SHARE SAVINGS,,TYPE: P2P CO: ZELLE %% ACH ECC WEB,FALSE
08/20/2026,Lakeview Power & Light,Withdrawal LAKEVIEW PWR & LIGHT / TYPE: ELECTRIC ID: XXXXXX7002 CO: LAKEVIEW PWR LT %% ACH ECC CCD,95.09,Debit,Bills & Utilities,Utilities,FREE CHECKING,,TYPE: ELECTRIC ID: XXXXXX7002 CO: LAKEVIEW PWR LT %% ACH ECC CCD,FALSE
08/20/2026,Fourth Street Market,Debit Card DEBIT TRAN FOURTH STREET MARKET LAKEVIEW OH,5.35,Debit,Food & Dining,Convenience,FREE CHECKING,,Debit Card DEBIT TRAN FOURTH STREET MARKET LAKEVIEW OH,FALSE
08/18/2026,Transfer to Venmo,Withdrawal VENMO / TYPE: PAYMENT CO: VENMO %% ACH ECC WEB,23.50,Debit,Transfer,Venmo,FREE CHECKING,,TYPE: PAYMENT CO: VENMO %% ACH ECC WEB,FALSE
08/18/2026,ATM Withdrawal Lakeshore CU,ATM Withdrawal LAKESHORE CU MAIN ST LAKEVIEW OH,60.00,Debit,Uncategorized,Cash,FREE CHECKING,,ATM Withdrawal LAKESHORE CU MAIN ST LAKEVIEW OH,FALSE
08/16/2026,Granite State Servicing,Withdrawal GRANITE STATE SERVICING / TYPE: STUDENT LN ID: XXXXXX2007 CO: GRANITE STATE SVC %% ACH ECC PPD,78.20,Debit,Education,Student Loan,FREE CHECKING,,TYPE: STUDENT LN ID: XXXXXX2007 CO: GRANITE STATE SVC %% ACH ECC PPD,FALSE
08/16/2026,Chase Credit Card,Withdrawal CHASE CREDIT CRD / TYPE: AUTOPAY ID: XXXXXX4417 CO: CHASE CREDIT CRD %% ACH ECC WEB,878.28,Debit,Transfer,Credit Card Payment,FREE CHECKING,,TYPE: AUTOPAY ID: XXXXXX4417 CO: CHASE CREDIT CRD %% ACH ECC WEB,FALSE
08/16/2026,ATM Withdrawal Lakeshore CU,ATM Withdrawal LAKESHORE CU MAIN ST LAKEVIEW OH,60.00,Debit,Uncategorized,Cash,FREE CHECKING,,ATM Withdrawal LAKESHORE CU MAIN ST LAKEVIEW OH,FALSE
08/13/2026,Transfer to Share 0072,Transfer to Share 0072,200.00,Debit,Transfer,Transfer,SHARE SAVINGS,,Transfer to Share 0072,FALSE
08/13/2026,Transfer from Share 0001,Transfer from Share 0001,200.00,Credit,Transfer,Transfer,FREE CHECKING,,Transfer from Share 0001,FALSE
08/12/2026,ATM Withdrawal #4471 Fourth Street,ATM Withdrawal #4471 FOURTH STREET LAKEVIEW OH,20.00,Debit,Uncategorized,Cash,FREE CHECKING,,ATM Withdrawal #4471 FOURTH STREET LAKEVIEW OH,FALSE
08/12/2026,ATM Surcharge,ATM Surcharge FOURTH STREET,3.00,Debit,Fees & Charges,ATM Fee,FREE CHECKING,,ATM Surcharge FOURTH STREET,FALSE
08/07/2026,Lakeview County Payroll,Deposit LAKEVIEW COUNTY PAYROLL / TYPE: DIRECT DEP ID: XXXXXX4410 CO: LAKEVIEW COUNTY %% ACH ECC PPD,1970.68,Credit,Income,Paycheck,FREE CHECKING,,TYPE: DIRECT DEP ID: XXXXXX4410 CO: LAKEVIEW COUNTY %% ACH ECC PPD,FALSE
08/07/2026,Chase Credit Card,Withdrawal CHASE CREDIT CRD / TYPE: AUTOPAY ID: XXXXXX8802 CO: CHASE CREDIT CRD %% ACH ECC WEB,660.95,Debit,Transfer,Credit Card Payment,FREE CHECKING,,TYPE: AUTOPAY ID: XXXXXX8802 CO: CHASE CREDIT CRD %% ACH ECC WEB,FALSE
08/05/2026,Zelle to Linda Morgan,Withdrawal ZELLE TO LINDA MORGAN / TYPE: P2P CO: ZELLE %% ACH ECC WEB,120.00,Debit,Transfer,Zelle,FREE CHECKING,,TYPE: P2P CO: ZELLE %% ACH ECC WEB,FALSE
08/05/2026,LaundryCard Reload,Withdrawal LAUNDRYCARD RELOAD / TYPE: PURCHASE CO: LAUNDRYCARD,16.00,Debit,Home,Laundry,FREE CHECKING,,TYPE: PURCHASE CO: LAUNDRYCARD,FALSE
08/04/2026,Vanguard Buy,Withdrawal VANGUARD BUY / TYPE: INVESTMENT CO: VMC %% ACH ECC WEB,900.00,Debit,Investments,Investment,SHARE SAVINGS,,TYPE: INVESTMENT CO: VMC %% ACH ECC WEB,FALSE
